SOP4 2017 Dates of Collection and Outcomes from Raising Immature Monarchs with Official 2018 GRTS Draw Sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Used To Quantify Survival and Parasite or Pathogen Prvalence In Three Monitoring Areas of USFWS Legacy Region 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,individ,state,monarea,plotlabel,vplottype,plot2017x,plot2017y,collectdate,gstage,butrflysex,chrysldate,emergedate,daysto emerge,outcome,noparas,dateparas  emerg,datexamineOE,OEpres,tag   b4rel,tagid,releasedate,releaseWGS84X,releaseWGS84Y,plotlab2018,plotlab2018type,grts2018pt  xlong,grts2018ptylat,roadname
26,12,WI,NCD,Necedah NWR Visitor Center,Nec,.,.,8/1/2017,LI4,M,.,8/11/2017,10,Adult,.,.,.,,0,,8/12/2017,.,.,,,.,.,
27,13,WI,NCD,Necedah NWR Visitor Center,Nec,.,.,7/29/2017,LI2,F,.,8/18/2017,20,Adult,.,.,.,,0,,8/18/2017,.,.,,,.,.,
28,14,WI,NCD,Necedah NWR Visitor Center,Nec,.,.,7/31/2017,Egg,M,.,8/25/2017,25,Adult,.,.,8/25/2017,UNK,1,XNB175,8/25/2017,.,.,,,.,.,
29,15,WI,NCD,Necedah NWR Visitor Center,Nec,.,.,8/7/2017,Egg,M,.,9/4/2017,28,Adult,.,.,9/4/2017,UNK,1,XNB185,9/4/2017,.,.,,,.,.,
30,16,WI,NCD,Necedah NWR Farm Pool,Nec,.,.,8/8/2017,LI5,M,.,8/22/2017,14,Adult,.,.,8/22/2017,UNK,0,,8/22/2017,.,.,,,.,.,
31,17,WI,NCD,RDS-006299-000078,RDS,"44,12902","-90,87867",8/21/2017,LI5,F,.,9/4/2017,14,Adult,.,.,9/4/2017,UNK,1,XNB180,9/4/2017,.,.,RDS-006299-016442,ROW-006299-016442-(ROW),"44,12895","-90,87680",Acorn Avenue
32,18,WI,NCD,RDS-006299-000078,RDS,"44,12902","-90,87867",8/21/2017,Egg,F,.,9/20/2017,30,Adult,.,.,.,,1,XNB186,9/21/2017,.,.,RDS-006299-016442,ROW-006299-016442-(ROW),"44,12895","-90,87680",Acorn Avenue
33,19,WI,NCD,RDS-006299-000078,RDS,"44,12902","-90,87867",8/21/2017,Egg,,.,.,.,Died,.,.,.,,0,,.,.,.,RDS-006299-016442,ROW-006299-016442-(ROW),"44,12895","-90,87680",Acorn Avenue
34,20,WI,NCD,RDS-006299-000078,RDS,"44,12902","-90,87867",8/21/2017,Egg,F,.,9/19/2017,29,Adult,.,.,.,,1,XNB184,9/20/2017,.,.,RDS-006299-016442,ROW-006299-016442-(ROW),"44,12895","-90,87680",Acorn Avenue
35,21,WI,NCD,RDS-006299-000078,RDS,"44,12902","-90,87867",8/21/2017,Egg,F,.,9/28/2017,38,Adult,.,.,.,,1,XNB186,9/29/2017,.,.,RDS-006299-016442,ROW-006299-016442-(ROW),"44,12895","-90,87680",Acorn Avenue
36,22,WI,NCD,RDS-006299-000078,RDS,"44,12902","-90,87867",8/21/2017,LI3,M,.,9/11/2017,21,Adult,.,.,9/12/2017,UNK,1,XNB178,9/12/2017,.,.,RDS-006299-016442,ROW-006299-016442-(ROW),"44,12895","-90,87680",Acorn Avenue
37,23,WI,NCD,RDS-006299-000464,RDS,"44,11873","-90,77362",8/21/2017,LI2,F,.,9/11/2017,21,Adult,.,.,9/12/2017,UNK,1,XNB179,9/12/2017,.,.,RDS-006299-010619,ROW-006299-010619-(ROW),"44,11864","-90,77137",County Highway S
38,24,WI,NCD,RDS-006299-000464,RDS,"44,11873","-90,77362",8/21/2017,Egg,,.,.,.,Died,.,.,.,,0,,.,.,.,RDS-006299-010619,ROW-006299-010619-(ROW),"44,11864","-90,77137",County Highway S
39,25,WI,NCD,CRP-075905-000251,CRP,.,.,8/23/2017,LI5,M,.,9/7/2017,15,Adult,.,.,9/7/2017,UNK,1,XNB176,9/7/2017,.,.,,,.,.,
40,26,WI,NCD,Necedah NWR Visitor Center,Nec,.,.,8/26/2017,LI3,F,.,9/14/2017,19,Adult,.,.,9/14/2017,UNK,1,XNB182,9/14/2017,.,.,,,.,.,
41,27,WI,NCD,Necedah NWR Visitor Center,Nec,.,.,8/26/2017,LI2,F,.,9/18/2017,23,Adult,.,.,.,,1,XNB183,9/19/2017,.,.,,,.,.,
42,28,WI,NCD,Necedah NWR Visitor Center,Nec,.,.,8/26/2017,LI5,M,.,9/11/2017,16,Adult,.,.,9/11/2017,UNK,1,XNB177,9/11/2017,.,.,,,.,.,
43,1,IA,NLS,PRG-083409-069090,PRG,"41,59161","-93,27941",6/27/2017,LI4,F,.,7/15/2017,18,Adult,.,.,7/17/2017,UNK,0,,7/17/2017,"476644,6","4600797,2",PRG-083409-025391,PGS-083409-025391-(PGS),"41,59161","-93,27941",.
44,2,IA,NLS,PRG-083409-069090,PRG,"41,59161","-93,27941",6/27/2017,LI5,,.,.,.,Fly,1,6/29/2017,.,,0,,.,.,.,PRG-083409-025391,PGS-083409-025391-(PGS),"41,59161","-93,27941",.
45,3,IA,NLS,PRG-083409-069090,PRG,"41,59161","-93,27941",7/5/2017,LI1,F,7/17/2017,7/27/2017,22,Adult,.,.,7/27/2017,UNK,0,,7/27/2017,"476644,6","4600797,2",PRG-083409-025391,PGS-083409-025391-(PGS),"41,59161","-93,27941",.
46,4,IA,NLS,PRG-083409-069090,PRG,"41,59161","-93,27941",7/5/2017,LI1,,.,.,.,Accident,.,.,.,,0,,.,.,.,PRG-083409-025391,PGS-083409-025391-(PGS),"41,59161","-93,27941",.
47,5,IA,NLS,PRG-083409-069090,PRG,"41,59161","-93,27941",7/5/2017,LI1,M,7/23/2017,8/3/2017,29,Adult,.,.,8/3/2017,UNK,0,,8/3/2017,"476644,6","4600797,2",PRG-083409-025391,PGS-083409-025391-(PGS),"41,59161","-93,27941",.
48,6,IA,NLS,PRG-083409-069090,PRG,"41,59161","-93,27941",7/5/2017,LI1,M,7/23/2017,8/3/2017,29,Adult,.,.,8/3/2017,UNK,0,,8/3/2017,"476644,6","4600797,2",PRG-083409-025391,PGS-083409-025391-(PGS),"41,59161","-93,27941",.
49,7,IA,NLS,PRG-083409-069090,PRG,"41,59161","-93,27941",7/5/2017,LI1,,.,.,.,Died,.,.,.,,0,,.,.,.,PRG-083409-025391,PGS-083409-025391-(PGS),"41,59161","-93,27941",.
50,8,IA,NLS,AGC-006347-000051,PRG,"41,54125","-93,28245",7/10/2017,Egg,,.,.,.,Died,.,.,.,,0,,.,.,.,AGC-006347-007613,AGC-006347-007613-(PGS),"41,54151","-93,28208",.
51,9,IA,NLS,AGC-006347-000051,PRG,"41,54125","-93,28245",7/10/2017,LI1,M,7/30/2017,8/12/2017,33,Adult,.,.,8/12/2017,UNK,0,,8/12/2017,"476644,6","4600797,2",AGC-006347-007613,AGC-006347-007613-(PGS),"41,54151","-93,28208",.
52,10,IA,NLS,AGC-006347-000051,PRG,"41,54125","-93,28245",7/10/2017,LI1,M,7/26/2017,8/9/2017,30,Adult,.,.,8/9/2017,UNK,0,,8/9/2017,"476644,6","4600797,2",AGC-006347-007613,AGC-006347-007613-(PGS),"41,54151","-93,28208",.
53,11,IA,NLS,AGC-006347-000051,PRG,"41,54125","-93,28245",7/10/2017,LI1,,.,.,.,Died,.,.,.,,0,,.,.,.,AGC-006347-007613,AGC-006347-007613-(PGS),"41,54151","-93,28208",.
54,12,IA,NLS,AGC-006347-000051,PRG,"41,54125","-93,28245",7/10/2017,LI1,M,7/29/2017,8/10/2017,31,Adult,.,.,8/10/2017,UNK,0,,8/10/2017,"476644,6","4600797,2",AGC-006347-007613,AGC-006347-007613-(PGS),"41,54151","-93,28208",.
55,13,IA,NLS,AGC-006347-000051,PRG,"41,54125","-93,28245",7/11/2017,Egg,,.,.,.,Died,.,.,.,,0,,.,.,.,AGC-006347-007613,AGC-006347-007613-(PGS),"41,54151","-93,28208",.
56,14,IA,NLS,AGC-006347-000035,PRG,"41,54530","-93,28338",7/12/2017,Egg,,.,.,.,Died,.,.,.,,0,,.,.,.,AGC-006347-102370,AGC-006347-102370-(PGS),"41,54557","-93,28373",.
57,15,IA,NLS,AGC-006347-000035,PRG,"41,54530","-93,28338",7/12/2017,LI1,M,.,8/19/2017,38,Adult,.,.,.,,0,,.,.,.,AGC-006347-102370,AGC-006347-102370-(PGS),"41,54557","-93,28373",.
58,16,IA,NLS,AGC-006347-000035,PRG,"41,54530","-93,28338",7/12/2017,LI1,,.,.,.,Died,.,.,.,,0,,.,.,.,AGC-006347-102370,AGC-006347-102370-(PGS),"41,54557","-93,28373",.
59,17,IA,NLS,AGC-006347-000035,PRG,"41,54530","-93,28338",7/13/2017,LI1,M,.,8/8/2017,26,Adult,.,.,8/5/2017,UNK,0,,8/8/2017,"476644,6","4600797,2",AGC-006347-102370,AGC-006347-102370-(PGS),"41,54557","-93,28373",.
